"","word","mRT","acc"
"610","arbours",716.181818181818,0.282051282051282
"611","arc",633.266666666667,0.810810810810811
"612","arcade",608.675675675676,0.973684210526316
"613","arcades",640.948717948718,0.975
"614","arcane",686,0.351351351351351
"615","arced",827.888888888889,0.243243243243243
"616","arch",566.783783783784,0.973684210526316
"617","archduke",845.263157894737,0.5
"618","arched",595,1
"619","archer",614.945945945946,0.973684210526316
"620","archers",586.820512820513,0.975
"621","arches",582.105263157895,0.95
"622","arching",617.184210526316,0.974358974358974
"623","archives",577.8,1
"624","archly",624.714285714286,0.552631578947368
"625","archway",632.058823529412,0.894736842105263
"626","archways",653.72972972973,0.973684210526316
"627","arcing",702,0.41025641025641
"628","arcs",657.189189189189,0.925
"629","arctic",611.102564102564,0.975
"630","ardent",687.714285714286,0.717948717948718
"631","ardour",776.8,0.540540540540541
"632","ardours",793.133333333333,0.428571428571429
"633","arduous",735.592592592593,0.675
"634","are",573.484848484848,0.868421052631579
"635","area",506.6,1
"636","areas",564.861111111111,0.947368421052632
"637","ares",710,0.128205128205128
"638","arete",922.25,0.1
"639","argent",686.571428571429,0.525
"640","argon",659.72,0.675675675675676
"641","argot",609.111111111111,0.243243243243243
"642","argue",575.552631578947,1
"643","argued",580.775,1
"644","argues",585.421052631579,1
"645","argus",732.181818181818,0.289473684210526
"646","aria",601.625,0.210526315789474
"647","arias",763.769230769231,0.325
"648","arid",697.263157894737,0.475
"649","aries",697.380952380952,0.525
"650","aright",609.454545454545,0.297297297297297
"651","arise",623.025,1
"652","ark",580.962962962963,0.72972972972973
"653","arks",702.28,0.641025641025641
"654","arm",555.973684210526,1
"655","armband",654.342105263158,0.974358974358974
"656","armbands",673.842105263158,0.95
"657","armchair",587.631578947368,1
"658","armchairs",591.947368421053,1
"659","armed",556.342105263158,1
"660","armful",575.657142857143,0.875
"661","armfuls",704.125,0.82051282051282
"662","armhole",579.346153846154,0.684210526315789
"663","armholes",764.214285714286,0.777777777777778
"664","armies",614.820512820513,0.975
"665","arming",714.777777777778,1
"666","armless",650.315789473684,0.95
"667","armlets",659.611111111111,0.45
"668","armoire",858.5,0.324324324324324
"669","armour",548.625,1
"670","armoured",662.8,1
"671","armpit",566.447368421053,0.95
"672","armpits",586.675675675676,0.948717948717949
"673","arms",509.947368421053,0.95
"674","army",540.95,1
"675","arose",589.53125,0.842105263157895
"676","around",566.351351351351,0.973684210526316
"677","arouse",603.108108108108,0.973684210526316
"678","aroused",575.837837837838,0.973684210526316
"679","arrack",534,0.025
"680","arraigned",973.875,0.205128205128205
"681","arrange",554.125,1
"682","arranged",567.875,1
"683","arrant",814.5,0.27027027027027
"684","arras",496,0.025
"685","array",617.75,0.947368421052632
"686","arrayed",653.742857142857,0.945945945945946
"687","arrays",621.833333333333,0.947368421052632
"688","arrears",785.518518518518,0.72972972972973
"689","arrest",523.425,1
"690","arrests",576.405405405405,0.973684210526316
"691","arrive",563.125,1
"692","arrived",572.025,1
"693","arrives",559.473684210526,1
"694","arrow",563.794871794872,0.975
"695","arrows",548.657894736842,1
"696","arse",563.615384615385,0.975
"697","arsehole",644.444444444444,0.947368421052632
"698","arseholes",718.74358974359,0.975
"699","arsenic",674.842105263158,0.95
"700","arses",565.351351351351,1
"701","arson",627.625,1
"702","art",522.052631578947,1
"703","artful",665.942857142857,0.945945945945946
"704","artist",512.864864864865,0.973684210526316
"705","artiste",777.869565217391,0.605263157894737
"706","artistes",778.291666666667,0.666666666666667
"707","artists",538.789473684211,1
"708","artless",794.318181818182,0.611111111111111
"709","arts",514.416666666667,0.947368421052632
"710","arty",640.5625,0.8
"711","arum",700,0.025
"712","aryan",984.555555555556,0.236842105263158
"713","aryans",711.333333333333,0.236842105263158
"714","as",526.184210526316,1
"715","ascend",710.342105263158,1
"716","ascends",681.25,0.947368421052632
"717","ascent",682.432432432432,0.925
"718","ascents",715.176470588235,0.918918918918919
"719","ascribe",667.269230769231,0.684210526315789
"720","ascribed",770.870967741935,0.837837837837838
"721","ascribes",757.875,0.6
"722","ash",601.552631578947,1
"723","ashamed",625.725,1
"724","ashen",656.055555555556,0.473684210526316
"725","ashes",541.081081081081,0.973684210526316
"726","ashore",735.612903225806,0.794871794871795
"727","ashtray",644.605263157895,1
"728","ashtrays",627.194444444444,0.947368421052632
"729","ashy",671.444444444444,0.45
"730","asia",600.027027027027,0.948717948717949
"731","asian",601.057142857143,0.921052631578947
"732","asians",627.555555555556,0.947368421052632
"733","aside",641.026315789474,1
"734","asides",667.709677419355,0.794871794871795
"735","ask",516.128205128205,0.975
"736","askance",742.5,0.1
"737","asked",541.578947368421,1
"738","askew",787.44,0.657894736842105
"739","asking",570.358974358974,0.975
"740","asks",541.131578947368,0.95
"741","aslant",617.5,0.05
"742","asleep",577.487179487179,0.975
"743","asp",747.833333333333,0.3
"744","aspect",546.918918918919,0.973684210526316
"745","aspects",564.594594594595,0.973684210526316
"746","aspen",705.2,0.675675675675676
"747","aspens",728.444444444444,0.473684210526316
"748","asphalt",726.258064516129,0.815789473684211
"749","aspic",711.666666666667,0.225
"750","aspire",636.810810810811,0.973684210526316
"751","aspired",619.6,1
"752","aspires",603.861111111111,0.947368421052632
"753","aspirin",675.305555555556,0.972972972972973
"754","aspirins",711.40625,0.888888888888889
"755","asps",743.571428571429,0.35
"756","ass",564.175,1
"757","assail",716.454545454545,0.611111111111111
"758","assailed",612.741935483871,0.815789473684211
"759","assails",708.52,0.657894736842105
"760","assault",549.475,1
"761","assaults",552.025,1
"762","assay",645.125,0.421052631578947
"763","assayed",685,0.41025641025641
"764","assays",614,0.45
"765","assent",702.727272727273,0.868421052631579
"766","assents",745.322580645161,0.815789473684211
"767","assert",614.945945945946,0.973684210526316
"768","asserts",633.72972972973,0.925
"769","asses",631.647058823529,0.85
"770","assess",688.289473684211,0.95
"771","assessed",584.864864864865,0.925
"772","asset",584.684210526316,1
